PDBCode,Pose/decoy,Pose name,Label,SB_pred,SB_prob,SO_pred,SO_prob
2i3i,decoy,2i3i_decoy_9_pose_1,0,1,0.5000523739981572,0,0.021355279451906375
4xtv,decoy,4xtv_decoy_5_pose_1,0,1,0.6515291324026263,0,0.017549361331299862
3fjg,decoy,3fjg_decoy_5_pose_1,0,1,0.6092297762478484,0,0.006041626621293766
2vzr,decoy,2vzr_decoy_6_pose_1,0,1,0.6945783132530123,0,0.04778587321699178
5caq,pose,5caq_pose_1,1,1,0.5386984445719385,0,0.19993504066568563
3aas,decoy,3aas_decoy_2_pose_1,0,1,0.5410642570281124,0,0.00599110728322818
5dqe,decoy,5dqe_decoy_9_pose_1,0,0,0.4366281141883551,0,0.02838284227009188
2xd9,pose,2xd9_pose_1,1,1,0.6464213998852554,0,0.19336826382239716
5fd0,decoy,5fd0_decoy_6_pose_1,0,1,0.6967728055077451,0,0.4914906103286386
4ha5,decoy,4ha5_decoy_8_pose_1,0,0,0.12357764390896922,0,0.0010353490049729974
6mu7,decoy,6mu7_decoy_1_pose_1,0,1,0.538676133103844,0,0.020524194788075482
1rdt,decoy,1rdt_decoy_10_pose_1,0,1,0.7389845094664372,0,0.06488440335671461
5nyh,decoy,5nyh_decoy_2_pose_1,0,0,0.40445113788487275,0,0.06321071923171648
2xyt,decoy,2xyt_decoy_4_pose_1,0,1,0.7657001019952827,0,0.07558961072370295
6gwr,decoy,6gwr_decoy_1_pose_1,0,1,0.793026869382291,0,0.051003609024329176
5eqy,decoy,5eqy_decoy_1_pose_1,0,1,0.6694061962134252,0,0.08018529283143863
6j39,decoy,6j39_decoy_4_pose_1,0,0,0.3463209982788297,0,0.007697978671798432
3e2m,pose,3e2m_pose_1,1,1,0.6344664371772805,0,0.08283427275177331
4pfu,decoy,4pfu_decoy_4_pose_1,0,0,0.20347182380314902,0,0.0028757877931736664
1ctt,decoy,1ctt_decoy_8_pose_1,0,0,0.35812036022879384,0,0.053211472767925275
1qca,decoy,1qca_decoy_9_pose_1,0,1,0.7366872250908397,0,0.0850439012809022
2cer,decoy,2cer_decoy_1_pose_1,0,1,0.657212978899726,0,0.046040836700677996
5vom,decoy,5vom_decoy_4_pose_1,0,1,0.5419288264167783,0,0.012339196202986518
6ei5,decoy,6ei5_decoy_8_pose_1,0,1,0.6103102887741443,0,0.04677048054219587
4avh,decoy,4avh_decoy_8_pose_1,0,1,0.5698245362401989,0,0.008752470281239072
6ge9,decoy,6ge9_decoy_1_pose_1,0,0,0.22848537005163513,0,0.002379397691221244
2h15,decoy,2h15_decoy_2_pose_1,0,0,0.47675463759801107,0,0.015589367976977797
2ya8,decoy,2ya8_decoy_2_pose_1,0,1,0.6707345254031999,0,0.0069681527715047585
3uex,decoy,3uex_decoy_6_pose_1,0,0,0.4409925415949513,0,0.04858314489841265
1ezq,decoy,1ezq_decoy_1_pose_1,0,1,0.7474158538917577,0,0.03501760470752642
1vfn,decoy,1vfn_decoy_7_pose_1,0,1,0.7177376171352069,0,0.08331387492295501
6hmg,pose,6hmg_pose_1,1,1,0.6667038283002138,1,0.7730340375586854
6ex1,decoy,6ex1_decoy_7_pose_1,0,1,0.6501139478549117,0,0.0053710795829443
5sz7,pose,5sz7_pose_1,1,1,0.95704484605087,1,0.9797535211267606
4yxi,decoy,4yxi_decoy_8_pose_1,0,0,0.4502414419583093,0,0.015832872628046845
2gsr,decoy,2gsr_decoy_5_pose_1,0,1,0.6427320392681838,0,0.0676005509001663
2ovv,decoy,2ovv_decoy_5_pose_1,0,1,0.5907614585325429,0,0.046593693088623635
1txr,decoy,1txr_decoy_3_pose_1,0,0,0.3517044367947983,0,0.015292291120272548
1j0x,decoy,1j0x_decoy_9_pose_1,0,1,0.5793752933813174,0,0.06836930150694943
5th4,decoy,5th4_decoy_1_pose_1,0,0,0.22839931153184162,0,0.001633440220260291
3bxd,decoy,3bxd_decoy_1_pose_1,0,1,0.8095907439280933,0,0.04516268493651802
2wn9,decoy,2wn9_decoy_2_pose_1,0,0,0.2273211895199847,0,0.02273520875610204
2q55,decoy,2q55_decoy_4_pose_1,0,1,0.8274359342130425,0,0.044598537792838594
2wcv,decoy,2wcv_decoy_10_pose_1,0,1,0.601403231975521,0,0.05213781477005334
6ge9,decoy,6ge9_decoy_10_pose_1,0,0,0.3226055013705616,0,0.017571808252626463
2f34,decoy,2f34_decoy_4_pose_1,0,0,0.009758079938802832,0,0.000638495032905923
3gkz,decoy,3gkz_decoy_1_pose_1,0,1,0.5683615414037101,0,0.053454099499626276
2nt7,decoy,2nt7_decoy_4_pose_1,0,1,0.6527514821189517,0,0.019750554237583623
1n5r,decoy,1n5r_decoy_6_pose_1,0,1,0.6739927965831579,0,0.05944152105942208
6pyz,decoy,6pyz_decoy_7_pose_1,0,0,0.2977624784853701,0,0.005746212201407849
1gpn,decoy,1gpn_decoy_4_pose_1,0,1,0.793311340600497,0,0.11909132905286976
2ihj,decoy,2ihj_decoy_4_pose_1,0,1,0.654070249250972,0,0.013644366197183098
6pyz,decoy,6pyz_decoy_8_pose_1,0,0,0.2554240772614266,0,0.006344303732035438
5n69,pose,5n69_pose_1,1,1,0.7463265761458536,1,0.7389964788732396
5nk4,decoy,5nk4_decoy_4_pose_1,0,0,0.31189519984700714,0,0.049539776753389816
2v7t,decoy,2v7t_decoy_7_pose_1,0,0,0.40315721761504897,0,0.0340523064022544
1pu7,decoy,1pu7_decoy_2_pose_1,0,1,0.5290041116848345,0,0.01710614428758247
3uex,decoy,3uex_decoy_1_pose_1,0,0,0.3904044750430292,0,0.10433645491517701
2qi3,decoy,2qi3_decoy_2_pose_1,0,0,0.494017339198062,0,0.007298412315865253
3ozg,decoy,3ozg_decoy_2_pose_1,0,0,0.35136657742079425,0,0.003561934828723541
4kfq,decoy,4kfq_decoy_10_pose_1,0,0,0.2984683322032719,0,0.0221609512642048
1ogg,decoy,1ogg_decoy_4_pose_1,0,1,0.8585197934595526,0,0.10123582223737851
4cwp,decoy,4cwp_decoy_4_pose_1,0,0,0.4474564926372153,0,0.016195251503187586
5exl,decoy,5exl_decoy_2_pose_1,0,1,0.6807388283291896,0,0.009995399303276427
3kmx,decoy,3kmx_decoy_5_pose_1,0,0,0.2574344999043794,0,0.019469189343797464
5f8y,decoy,5f8y_decoy_8_pose_1,0,0,0.3699711544591062,0,0.03042083585663502
2h15,decoy,2h15_decoy_8_pose_1,0,0,0.4947201504430421,0,0.022940277276102233
5m7u,decoy,5m7u_decoy_1_pose_1,0,1,0.6883510231401797,0,0.006850704415191913
5ul5,pose,5ul5_pose_1,1,1,0.5983577165806081,0,0.25141567792532854
5o2d,decoy,5o2d_decoy_2_pose_1,0,1,0.7147566456301399,0,0.12014324882094082
4o0y,decoy,4o0y_decoy_10_pose_1,0,0,0.1754231210556512,0,0.01376710363116767
1ke5,decoy,1ke5_decoy_1_pose_1,0,1,0.7108091094536878,0,0.05036030504174349
5d21,decoy,5d21_decoy_2_pose_1,0,0,0.2009410658507044,0,0.003246623913984871
2p16,decoy,2p16_decoy_8_pose_1,0,1,0.6697121820615797,0,0.02828084603465145
1o2o,decoy,1o2o_decoy_1_pose_1,0,0,0.44848122649327465,0,0.011768766689184636
4fl3,decoy,4fl3_decoy_1_pose_1,0,1,0.692374258940524,0,0.09458163890415557
4kyk,pose,4kyk_pose_1,1,1,0.6064591700133869,0,0.17020441901629862
5nih,decoy,5nih_decoy_5_pose_1,0,1,0.6503864665009244,0,0.06377701943413282
6mjw,pose,6mjw_pose_1,1,1,0.7503657487091223,0,0.1111503218899961
